image_id,competitor_product_id,url,source_page,publisher,match_state,retrieved_at,source_id
cimg-prestige-popular-plus-cooker-0,prestige-popular-plus-cooker,https://shop.ttkprestige.com/media/catalog/product/9/7/9755-10211-P-IMG1.jpg?optimize=medium&fit=bounds&height=500&width=500,https://shop.ttkprestige.com/prestige-popular-plus-virgin-aluminium-precision-weight-valve-junior-deep-pan-pressure-cooker-silver.html,TTK Prestige,VERIFIED_EXACT,2026-08-27,src-img-foodb-prestige-popular-plus-cooker
cimg-russellhobbs-colours-plus-toaster-0,russellhobbs-colours-plus-toaster,https://cdn-img.russellhobbs.com/manager/russellhobbs_com/q423/large_rh_feature_image_26550-56_1.jpg,https://nl.russellhobbs.com/product/colours-plus-2-slice-toaster-black-26550-56,Russell Hobbs,VERIFIED_EXACT,2026-08-27,src-img-foodb-russellhobbs-colours-plus-toaster
cimg-smeg-toaster-tsf01rdeu-0,smeg-toaster-tsf01rdeu,https://assets.4flow.cloud/TSF01RDEU.jpg?pEFs=cVY2M1MyN1ZOMFFadEQ5ZlVOMzhVNW9FZ2lIZ2xjODNsaUVIZVpuOFg5TklJajhUckE5RWVMbG50L1NyQmR2bEE3ak9xZlZqMTVoWE1BMnI3bmpQWXJUcWFXQ0ZCelpTUXdGOGh3QWJzbUFsK1RQNWZtOFBISkFaTlhWSC9MNk5UczJzSjVNUnZad2R0azJSTVloRnJLQldyZ3o5WllZTTMrNVFtUkF4SERzPQ,https://www.smeg.com/nl/products/TSF01RDEU,Smeg,VERIFIED_EXACT,2026-08-27,src-img-foodb-smeg-toaster-tsf01rdeu
cimg-bosch-toaster-tat2m121-0,bosch-toaster-tat2m121,https://mycliplister.com/thumb/80804/132df889880be520e2cd6e12b9588f6b960ff70237a683139751e34ac8f2f7a2481cdbb631b526752d2a4ef2aed376e41,https://www.alternate.de/Bosch-Home/Kompakt-Toaster-MyMoment-TAT2M121/html/product/100028796,Alternate GmbH,VERIFIED_EXACT,2026-08-27,src-img-foodb-bosch-toaster-tat2m121
cimg-bosch-vitajuice3-0,bosch-vitajuice3,https://www.world-import.com/images/P/Bosch-MES3500-Centrifugal-Juicer.jpg,https://www.world-import.com/Bosch-MES3500-Centrifugal-Juicer-Vita-Juice-3-700-Watt-blue-220-240-Volt-50-Hz.htm,World Import,VERIFIED_EXACT,2026-08-27,src-img-foodb-bosch-vitajuice3
cimg-bosch-vitaextract-slowjuicer-0,bosch-vitaextract-slowjuicer,https://alternate.nl/p/160x160/9/Bosch_MESM500W_Slow_Juicer_VitaExtract_sapcentrifuge@@9ghjdh17.jpg,https://www.alternate.nl/Bosch-Home/MESM500W-Slow-Juicer-VitaExtract-sapcentrifuge/html/product/1617144,Alternate NL,VERIFIED_FAMILY,2026-08-27,src-img-foodb-bosch-vitaextract-slowjuicer
cimg-smeg-citrus-juicer-cjf11rdeu-0,smeg-citrus-juicer-cjf11rdeu,https://assets.4flow.cloud/CJF11RDEU.jpg?pEFs=cVY2M1MyN1ZOMFFadEQ5ZlVOMzhVN296bGpMS3RnaldxQzdqVEtQNnVqa01YR0pRZUltUTlGWHdtdnh4WjA2YVVFT29BNXI4Q3J4VWdOdVJ6cGtpWWd5TXFjUFdMWmt1MmRqZXNSaU5OQk1EZmdPMkUzU2YyQ0R3Z3lYelg2Ym5tVGwyb3pIazc5QlBzWDBkeGR6R1RMSkRPVXFpUGdZK2J4blZvSGs1LzJnPQ,https://www.smeg.com/nl/products/CJF11RDEU,Smeg,VERIFIED_EXACT,2026-08-27,src-img-foodb-smeg-citrus-juicer-cjf11rdeu
cimg-hurom-h320n-slowjuicer-0,hurom-h320n-slowjuicer,https://www.hurom-europe.com/wp-content/uploads/2022/06/H320N_DG1.jpg,https://www.hurom-europe.com/product/h320n-series/,Hurom,VERIFIED_EXACT,2026-08-27,src-img-foodb-hurom-h320n-slowjuicer
cimg-dyson-v15-detect-absolute-0,dyson-v15-detect-absolute,https://dyson-h.assetsadobe2.com/is/image/content/dam/dyson/images/products/primary/494719-01.png,https://www.dyson.nl/stofzuigers/draadloos/v15-detect/absolute-geel-nikkel,Dyson,VERIFIED_EXACT,2026-08-27,src-img-rest-dyson-v15-detect-absolute
cimg-shark-powerdetect-speed-ia3241eut-0,shark-powerdetect-speed-ia3241eut,"https://assets.sharkninja.com/image/upload/c_fill,w_690,h_690,f_auto,g_auto,q_auto:good,dpr_2.0,b_rgb:FFFFFF/v1/storefront/products-DE/IA3241EUT/IA3241EUT_01",https://www.sharkninja.de/shark-powerdetect-speed-pet-pro-clean-empty-akku-staubsauger/IA3241EUT.html,SharkNinja,VERIFIED_EXACT,2026-08-27,src-img-rest-shark-powerdetect-speed-ia3241eut
cimg-roborock-dyad-pro-combo-0,roborock-dyad-pro-combo,https://us.roborock.com/cdn/shop/files/1_FC4A5224.jpg?v=1725026714,https://us.roborock.com/products/roborock-dyad-pro-combo-5-in-1-vacuum-cleaner,Roborock,VERIFIED_EXACT,2026-08-27,src-img-rest-roborock-dyad-pro-combo
cimg-tineco-floor-one-s9-artist-0,tineco-floor-one-s9-artist,https://de-store.tineco.com/cdn/shop/files/10fb289cbb5cb43e018bff46aaf031ae.png?v=1763014902&width=1500,https://de-store.tineco.com/products/tineco-floor-one-s9-artist-nass-und-trockensauger,Tineco,VERIFIED_EXACT,2026-08-27,src-img-rest-tineco-floor-one-s9-artist
cimg-miele-triflex-hx2-catdog-0,miele-triflex-hx2-catdog,https://media.miele.com/images/2000019/200001952/20000195273.png,https://www.miele.nl/product/11806000/snoerloze-steelstofzuiger-triflex-hx2-cat-en-dog-obsidiaanzwart,Miele,VERIFIED_EXACT,2026-08-27,src-img-rest-miele-triflex-hx2-catdog
